student_id,distance_group,uses_motorbike
SV00919,near,1
SV00920,far,1
SV00921,medium,0
SV00922,far,1
SV00923,near,0
SV00924,medium,1
SV00925,medium,1
SV00926,far,1
SV00927,medium,1
SV00928,far,1
SV00929,near,1
SV00930,far,1
SV00931,near,1
SV00932,far,1
SV00933,far,1
SV00934,near,1
SV00935,near,1
SV00936,medium,1
SV00937,far,1
SV00938,near,1
SV00939,medium,1
SV00940,medium,0
SV00941,medium,1
SV00942,near,0
SV00943,far,1
SV00944,near,0
SV00945,medium,0
SV00946,far,1
SV00947,near,1
SV00948,far,1
SV00949,medium,1
SV00950,medium,0
SV00951,far,1
SV00952,medium,1
SV00953,near,1
SV00954,medium,1
SV00955,far,1
SV00956,far,1
SV00957,medium,1
SV00958,medium,1
SV00959,near,1
SV00960,medium,1
SV00961,far,1
SV00962,medium,1
SV00963,medium,1
SV00964,medium,1
SV00965,medium,1
SV00966,far,0
SV00967,medium,0
SV00968,medium,1
SV00969,far,1
SV00970,medium,1
SV00971,medium,0
SV00972,near,1
SV00973,near,1
SV00974,near,1
SV00975,far,0
SV00976,far,1
SV00977,medium,1
SV00978,far,1
SV00979,medium,0
SV00980,near,1
SV00981,far,1
SV00982,far,1
SV00983,far,1
SV00984,near,1
SV00985,far,1
SV00986,medium,1
SV00987,near,0
SV00988,medium,1
SV00989,near,0
SV00990,far,1
SV00991,far,1
SV00992,near,0
SV00993,near,1
SV00994,near,1
SV00995,near,0
SV00996,near,0
SV00997,medium,1
SV00998,far,1
SV00999,medium,1
SV01000,far,1
SV01001,near,0
SV01002,near,0
SV01003,far,1
SV01004,near,0
SV01005,near,1
SV01006,near,0
SV01007,far,1
SV01008,near,1
SV01009,far,1
SV01010,near,0
SV01011,medium,1
SV01012,far,1
SV01013,medium,1
SV01014,far,1
SV01015,medium,1
SV01016,medium,0
SV01017,far,1
SV01018,medium,0
SV01019,near,0
SV01020,near,0
SV01021,medium,0
SV01022,medium,1
SV01023,far,1
SV01024,far,0
SV01025,medium,1
SV01026,medium,1
SV01027,medium,1
SV01028,far,1
SV01029,medium,1
SV01030,medium,1
SV01031,medium,1
SV01032,near,1
SV01033,near,0
SV01034,medium,1
SV01035,near,0
SV01036,medium,1
SV01037,medium,0
SV01038,near,0
SV01039,medium,1
SV01040,near,1
SV01041,near,1
SV01042,far,1
SV01043,near,1
SV01044,near,0
SV01045,medium,1
SV01046,far,1
SV01047,far,1
SV01048,medium,1
SV01049,medium,0
SV01050,near,0
SV01051,far,1
SV01052,near,1
SV01053,medium,1
SV01054,far,1
SV01055,medium,0
SV01056,near,0
SV01057,near,0
SV01058,near,0
SV01059,medium,0
SV01060,near,0
SV01061,near,0
SV01062,near,0
SV01063,near,1
SV01064,near,0
SV01065,far,1
SV01066,near,1
SV01067,medium,1
SV01068,far,0
SV01069,far,1
SV01070,far,1
SV01071,near,1
SV01072,far,1
SV01073,near,0
SV01074,medium,1
SV01075,near,0
SV01076,near,1
SV01077,near,0
SV01078,medium,1
SV01079,medium,1
SV01080,near,1
SV01081,far,1
SV01082,far,1
SV01083,medium,1
SV01084,medium,1
SV01085,near,0
SV01086,medium,1
SV01087,far,1
SV01088,near,1
SV01089,far,1
SV01090,near,0
SV01091,near,1
SV01092,near,0
SV01093,medium,1
SV01094,near,1
SV01095,medium,0
SV01096,near,0
SV01097,medium,1
SV01098,near,1
SV01099,near,1
SV01100,near,0
SV01101,near,1
SV01102,far,1
SV01103,medium,1
SV01104,near,0
SV01105,medium,1
SV01106,far,1
SV01107,near,1
SV01108,medium,0
SV01109,far,1
SV01110,medium,0
SV01111,medium,0
SV01112,medium,1
SV01113,medium,1
SV01114,near,1
SV01115,near,1
SV01116,medium,1
SV01117,medium,1
SV01118,near,0
SV01119,far,1
SV01120,medium,1
SV01121,far,0
SV01122,far,1
SV01123,medium,0
SV01124,medium,1
SV01125,far,1
SV01126,medium,1
SV01127,far,1
SV01128,medium,1
SV01129,near,1
SV01130,far,1
SV01131,medium,1
SV01132,medium,1
SV01133,medium,1
SV01134,near,1
SV01135,medium,1
SV01136,medium,0
SV01137,medium,1
SV01138,medium,1
SV01139,far,1
SV01140,medium,1
SV01141,far,1
SV01142,near,0
SV01143,medium,1
SV01144,medium,1
SV01145,far,1
SV01146,far,1
SV01147,near,1
SV01148,medium,0
SV01149,medium,1
SV01150,far,1
SV01151,near,0
SV01152,near,1
SV01153,far,1
SV01154,near,0
SV01155,near,0
SV01156,medium,1
SV01157,far,1
SV01158,near,1
SV01159,medium,1
SV01160,medium,1
SV01161,medium,1
SV01162,near,1
SV01163,near,0
SV01164,far,1
SV01165,near,0
SV01166,near,1
SV01167,far,1
SV01168,medium,0
SV01169,medium,1
SV01170,medium,1
SV01171,far,1
SV01172,medium,1
SV01173,far,1
SV01174,medium,1
SV01175,medium,0
SV01176,medium,1
SV01177,medium,0
SV01178,medium,1
SV01179,far,1
SV01180,far,1
SV01181,medium,1
SV01182,far,0
SV01183,medium,1
SV01184,far,1
SV01185,far,1
SV01186,medium,1
SV01187,near,1
SV01188,near,1
SV01189,near,1
SV01190,medium,1
SV01191,medium,1
SV01192,far,1
SV01193,near,0
SV01194,near,0
SV01195,medium,0
SV01196,medium,1
SV01197,medium,1
SV01198,medium,1
SV01199,medium,1
SV01200,medium,0
SV01201,medium,1
SV01202,near,0
SV01203,medium,1
SV01204,medium,1
SV01205,medium,1
SV01206,medium,1
SV01207,near,1
SV01208,medium,1
SV01209,near,1
SV01210,medium,1
SV01211,far,0
SV01212,far,0
SV01213,far,1
SV01214,medium,1
SV01215,near,0
SV01216,far,0
SV01217,near,1
SV01218,near,0
SV01219,medium,1
SV01220,medium,1
SV01221,near,0
SV01222,near,1
SV01223,near,0
SV01224,far,1
SV01225,medium,1
SV01226,medium,1
SV01227,medium,1
SV01228,near,1
SV01229,medium,0
SV01230,medium,1
SV01231,medium,0
SV01232,far,1
SV01233,medium,1
SV01234,medium,1
SV01235,medium,1
SV01236,far,1
SV01237,far,1
SV01238,medium,1
SV01239,medium,1
SV01240,far,0
SV01241,far,1
SV01242,medium,1
SV01243,near,0
SV01244,near,1
SV01245,near,1
SV01246,medium,1
SV01247,medium,1
SV01248,medium,1
SV01249,far,0
SV01250,far,1
SV01251,medium,1
SV01252,medium,1
SV01253,near,0
SV01254,near,1
SV01255,far,0
SV01256,near,1
SV01257,medium,1
SV01258,medium,1
SV01259,far,1
SV01260,far,1
SV01261,medium,1
SV01262,far,1
SV01263,far,1
SV01264,far,1
SV01265,near,1
SV01266,medium,1
SV01267,near,1
SV01268,far,1
SV01269,medium,0
SV01270,near,1
SV01271,far,1
SV01272,medium,1
SV01273,near,0
SV01274,far,1
SV01275,near,0
SV01276,medium,1
SV01277,far,1
SV01278,near,0
SV01279,far,1
SV01280,medium,1
SV01281,medium,1
SV01282,medium,1
SV01283,near,0
SV01284,medium,1
SV01285,near,1
SV01286,far,1
SV01287,far,1
SV01288,near,0
SV01289,medium,1
SV01290,far,1
SV01291,medium,1
SV01292,medium,1
SV01293,near,1
SV01294,near,0
SV01295,medium,1
SV01296,far,1
SV01297,medium,1
SV01298,near,1
SV01299,far,1
SV01300,medium,1
SV01301,near,0
SV01302,near,0
SV01303,far,1
SV01304,far,1
SV01305,far,1
SV01306,far,1
SV01307,near,0
SV01308,near,0
SV01309,near,0
SV01310,far,1
SV01311,near,0
SV01312,near,0
SV01313,far,0
SV01314,near,1
SV01315,medium,1
SV01316,medium,1
SV01317,far,1
SV01318,medium,1
SV01319,medium,0
SV01320,near,1
SV01321,near,1
SV01322,near,0
SV01323,far,1
SV01324,near,0
SV01325,medium,1
SV01326,medium,1
SV01327,medium,1
SV01328,medium,1
SV01329,near,0
SV01330,medium,0
SV01331,near,0
SV01332,far,1
SV01333,medium,1
SV01334,near,0
SV01335,medium,1
SV01336,far,1
SV01337,near,0
SV01338,far,1
SV01339,medium,0
SV01340,near,0
SV01341,near,0
SV01342,medium,1
SV01343,near,0
SV01344,near,1
SV01345,far,1
SV01346,near,1
SV01347,near,0
SV01348,medium,1
SV01349,near,0
SV01350,far,1
SV01351,near,1
SV01352,medium,1
SV01353,medium,1
SV01354,near,1
SV01355,medium,0
SV01356,medium,1
SV01357,near,1
SV01358,medium,0
SV01359,far,1
SV01360,medium,1
SV01361,medium,1
SV01362,far,1
SV01363,near,0
SV01364,far,1
SV01365,medium,1
SV01366,near,1
SV01367,far,1
SV01368,near,0
SV01369,far,1
SV01370,far,1
SV01371,far,1
SV01372,far,0
SV01373,near,1
SV01374,near,0
SV01375,near,0
SV01376,far,1
SV01377,near,1
SV01378,near,1
SV01379,medium,1
SV01380,far,1
SV01381,medium,0
SV01382,near,0
SV01383,medium,1
SV01384,near,0
SV01385,near,0
SV01386,near,1
SV01387,near,1
SV01388,medium,1
SV01389,near,0
SV01390,medium,1
SV01391,far,1
SV01392,far,1
SV01393,medium,1
SV01394,far,1
SV01395,near,0
SV01396,medium,1
SV01397,near,0
SV01398,medium,1
SV01399,near,0
SV01400,far,1
SV01401,far,1
SV01402,near,0
SV01403,medium,1
SV01404,near,1
SV01405,far,1
SV01406,medium,1
SV01407,near,0
SV01408,near,0
SV01409,medium,1
SV01410,far,1
SV01411,medium,0
SV01412,medium,0
SV01413,medium,1
SV01414,medium,1
SV01415,medium,0
SV01416,far,1
SV01417,near,0
SV01418,near,1
SV01419,far,1
SV01420,medium,1
SV01421,far,1
SV01422,near,1
SV01423,near,1
SV01424,medium,0
SV01425,medium,1
SV01426,near,1
SV01427,near,0
SV01428,medium,1
SV01429,far,1
SV01430,medium,0
SV01431,near,0
SV01432,medium,1
SV01433,far,1
SV01434,far,1
SV01435,far,1
SV01436,medium,1
SV01437,near,1
SV01438,medium,1
SV01439,near,1
SV01440,near,1
SV01441,far,1
SV01442,near,0
SV01443,far,1
SV01444,medium,0
SV01445,medium,1
SV01446,near,0
SV01447,near,1
SV01448,far,1
SV01449,medium,1
SV01450,near,0
SV01451,near,1
SV01452,medium,1
SV01453,far,1
SV01454,medium,1
SV01455,medium,1
SV01456,medium,1
SV01457,near,1
SV01458,near,1
SV01459,near,1
SV01460,far,1
SV01461,near,1
SV01462,near,0
SV01463,near,0
SV01464,near,0
SV01465,near,0
SV01466,far,1
SV01467,medium,1
SV01468,near,1
SV01469,medium,1
SV01470,medium,1
SV01471,near,1
SV01472,far,1
SV01473,far,1
SV01474,near,1
SV01475,far,1
SV01476,medium,1
SV01477,far,1
SV01478,medium,1
SV01479,near,1
SV01480,medium,0
SV01481,near,0
SV01482,near,0
SV01483,near,1
SV01484,medium,1
SV01485,far,1
SV01486,far,1
SV01487,near,1
