schedule_id,class_id,day_of_week,day_vn,shift,start_time,end_time,building,floor,room_id,room_capacity,num_students,motorbike_ratio,dorm_ratio,arrival_window_start,arrival_window_end,departure_window_start,departure_window_end
SCH00028,LHP0022,Tue,Thu 3,Ca2,09:35,12:15,C,3,C-0302,57,34,0.93,0.12,09:05,09:35,12:15,12:45
SCH00029,LHP0023,Mon,Thu 2,Ca3,13:00,15:40,D,5,D-0503,88,75,0.81,0.25,12:30,13:00,15:40,16:10
SCH00030,LHP0023,Tue,Thu 3,Ca3,13:00,15:40,A2,10,A2-1014,87,75,0.81,0.25,12:30,13:00,15:40,16:10
SCH00031,LHP0024,Mon,Thu 2,Ca1,06:45,09:25,C,3,C-0304,48,30,0.88,0.16,06:15,06:45,09:25,09:55
SCH00032,LHP0024,Wed,Thu 4,Ca1,06:45,09:25,A2,7,A2-0702,115,30,0.88,0.16,06:15,06:45,09:25,09:55
SCH00033,LHP0025,Wed,Thu 4,Ca1,06:45,09:25,D,3,D-0305,70,38,0.8,0.23,06:15,06:45,09:25,09:55
SCH00034,LHP0025,Fri,Thu 6,Ca3,13:00,15:40,A2,2,A2-0212,108,38,0.8,0.23,12:30,13:00,15:40,16:10
SCH00035,LHP0026,Fri,Thu 6,Ca1,06:45,09:25,A2,9,A2-0912,90,47,0.81,0.09,06:15,06:45,09:25,09:55
SCH00036,LHP0027,Mon,Thu 2,Ca1,06:45,09:25,A2,6,A2-0611,90,62,0.85,0.23,06:15,06:45,09:25,09:55
SCH00037,LHP0027,Fri,Thu 6,Ca2,09:35,12:15,A2,2,A2-0208,92,62,0.85,0.23,09:05,09:35,12:15,12:45
SCH00038,LHP0028,Mon,Thu 2,Ca2,09:35,12:15,D,1,D-0107,82,70,0.83,0.11,09:05,09:35,12:15,12:45
SCH00039,LHP0029,Fri,Thu 6,Ca3,13:00,15:40,A2,8,A2-0812,117,70,0.95,0.08,12:30,13:00,15:40,16:10
SCH00040,LHP0030,Fri,Thu 6,Ca4,15:50,18:30,A2,7,A2-0708,100,65,0.75,0.07,15:20,15:50,18:30,19:00
SCH00041,LHP0030,Thu,Thu 5,Ca3,13:00,15:40,A2,3,A2-0304,101,65,0.75,0.07,12:30,13:00,15:40,16:10
SCH00042,LHP0031,Thu,Thu 5,Ca1,06:45,09:25,A2,3,A2-0306,89,64,0.76,0.12,06:15,06:45,09:25,09:55
SCH00043,LHP0032,Wed,Thu 4,Ca2,09:35,12:15,C,3,C-0304,48,38,0.76,0.12,09:05,09:35,12:15,12:45
SCH00044,LHP0032,Fri,Thu 6,Ca1,06:45,09:25,A2,4,A2-0413,103,38,0.76,0.12,06:15,06:45,09:25,09:55
SCH00045,LHP0033,Sat,Thu 7,Ca1,06:45,09:25,A2,5,A2-0504,94,52,0.79,0.1,06:15,06:45,09:25,09:55
SCH00046,LHP0034,Wed,Thu 4,Ca1,06:45,09:25,D,4,D-0407,80,56,0.94,0.2,06:15,06:45,09:25,09:55
SCH00047,LHP0034,Mon,Thu 2,Ca1,06:45,09:25,A2,10,A2-1013,101,56,0.94,0.2,06:15,06:45,09:25,09:55
SCH00048,LHP0035,Mon,Thu 2,Ca3,13:00,15:40,A2,9,A2-0914,118,40,0.95,0.21,12:30,13:00,15:40,16:10
SCH00049,LHP0035,Wed,Thu 4,Ca2,09:35,12:15,A2,1,A2-0102,87,40,0.95,0.21,09:05,09:35,12:15,12:45
SCH00050,LHP0036,Thu,Thu 5,Ca1,06:45,09:25,A2,3,A2-0301,80,41,0.9,0.12,06:15,06:45,09:25,09:55
SCH00051,LHP0036,Mon,Thu 2,Ca1,06:45,09:25,B,2,B-0205,60,41,0.9,0.12,06:15,06:45,09:25,09:55
SCH00052,LHP0037,Wed,Thu 4,Ca2,09:35,12:15,A2,2,A2-0207,115,47,0.78,0.19,09:05,09:35,12:15,12:45
SCH00053,LHP0038,Thu,Thu 5,Ca1,06:45,09:25,D,2,D-0201,72,60,0.79,0.21,06:15,06:45,09:25,09:55
SCH00054,LHP0039,Fri,Thu 6,Ca3,13:00,15:40,A2,4,A2-0405,114,80,0.92,0.09,12:30,13:00,15:40,16:10
SCH00055,LHP0039,Wed,Thu 4,Ca4,15:50,18:30,A2,1,A2-0104,97,80,0.92,0.09,15:20,15:50,18:30,19:00
SCH00056,LHP0040,Fri,Thu 6,Ca4,15:50,18:30,A2,9,A2-0907,85,51,0.81,0.06,15:20,15:50,18:30,19:00
SCH00057,LHP0040,Thu,Thu 5,Ca1,06:45,09:25,A2,10,A2-1003,104,51,0.81,0.06,06:15,06:45,09:25,09:55
SCH00058,LHP0041,Mon,Thu 2,Ca1,06:45,09:25,A2,8,A2-0810,114,71,0.85,0.19,06:15,06:45,09:25,09:55
SCH00059,LHP0041,Wed,Thu 4,Ca4,15:50,18:30,A2,5,A2-0512,120,71,0.85,0.19,15:20,15:50,18:30,19:00
SCH00060,LHP0042,Wed,Thu 4,Ca1,06:45,09:25,B,1,B-0107,56,31,0.77,0.24,06:15,06:45,09:25,09:55
SCH00061,LHP0043,Fri,Thu 6,Ca2,09:35,12:15,A2,1,A2-0104,97,32,0.77,0.14,09:05,09:35,12:15,12:45
SCH00062,LHP0043,Tue,Thu 3,Ca3,13:00,15:40,C,3,C-0302,57,32,0.77,0.14,12:30,13:00,15:40,16:10
SCH00063,LHP0044,Wed,Thu 4,Ca3,13:00,15:40,D,3,D-0307,78,57,0.87,0.15,12:30,13:00,15:40,16:10
SCH00064,LHP0045,Tue,Thu 3,Ca3,13:00,15:40,C,2,C-0202,42,42,0.8,0.19,12:30,13:00,15:40,16:10
SCH00065,LHP0046,Mon,Thu 2,Ca1,06:45,09:25,A2,10,A2-1006,113,73,0.89,0.2,06:15,06:45,09:25,09:55
SCH00066,LHP0046,Wed,Thu 4,Ca1,06:45,09:25,A2,4,A2-0403,82,73,0.89,0.2,06:15,06:45,09:25,09:55
SCH00067,LHP0047,Tue,Thu 3,Ca2,09:35,12:15,A2,9,A2-0913,107,57,0.76,0.18,09:05,09:35,12:15,12:45
SCH00068,LHP0048,Mon,Thu 2,Ca1,06:45,09:25,D,5,D-0508,76,72,0.92,0.19,06:15,06:45,09:25,09:55
SCH00069,LHP0049,Mon,Thu 2,Ca1,06:45,09:25,A2,2,A2-0214,97,72,0.83,0.13,06:15,06:45,09:25,09:55
SCH00070,LHP0050,Tue,Thu 3,Ca2,09:35,12:15,A2,5,A2-0508,86,42,0.83,0.24,09:05,09:35,12:15,12:45
SCH00071,LHP0050,Wed,Thu 4,Ca2,09:35,12:15,A2,1,A2-0104,97,42,0.83,0.24,09:05,09:35,12:15,12:45
SCH00072,LHP0051,Wed,Thu 4,Ca1,06:45,09:25,A2,5,A2-0505,98,69,0.86,0.13,06:15,06:45,09:25,09:55
SCH00073,LHP0051,Thu,Thu 5,Ca4,15:50,18:30,A2,4,A2-0402,96,69,0.86,0.13,15:20,15:50,18:30,19:00
SCH00074,LHP0052,Wed,Thu 4,Ca1,06:45,09:25,B,2,B-0205,60,48,0.79,0.21,06:15,06:45,09:25,09:55
SCH00075,LHP0052,Fri,Thu 6,Ca3,13:00,15:40,A2,10,A2-1012,97,48,0.79,0.21,12:30,13:00,15:40,16:10
SCH00076,LHP0053,Fri,Thu 6,Ca1,06:45,09:25,A2,7,A2-0704,100,59,0.84,0.19,06:15,06:45,09:25,09:55
SCH00077,LHP0054,Mon,Thu 2,Ca1,06:45,09:25,D,2,D-0208,74,72,0.77,0.15,06:15,06:45,09:25,09:55
SCH00078,LHP0054,Wed,Thu 4,Ca2,09:35,12:15,A2,7,A2-0711,84,72,0.77,0.15,09:05,09:35,12:15,12:45
SCH00079,LHP0055,Fri,Thu 6,Ca1,06:45,09:25,B,3,B-0302,51,35,0.91,0.2,06:15,06:45,09:25,09:55
SCH00080,LHP0055,Sat,Thu 7,Ca1,06:45,09:25,A2,8,A2-0813,107,35,0.91,0.2,06:15,06:45,09:25,09:55
SCH00081,LHP0056,Mon,Thu 2,Ca2,09:35,12:15,A2,3,A2-0311,104,42,0.78,0.06,09:05,09:35,12:15,12:45
SCH00082,LHP0056,Wed,Thu 4,Ca2,09:35,12:15,A2,4,A2-0413,103,42,0.78,0.06,09:05,09:35,12:15,12:45
SCH00083,LHP0057,Mon,Thu 2,Ca1,06:45,09:25,A2,3,A2-0302,90,79,0.76,0.13,06:15,06:45,09:25,09:55
SCH00084,LHP0057,Wed,Thu 4,Ca3,13:00,15:40,D,4,D-0407,80,79,0.76,0.13,12:30,13:00,15:40,16:10
SCH00085,LHP0058,Fri,Thu 6,Ca1,06:45,09:25,A2,9,A2-0913,107,75,0.89,0.15,06:15,06:45,09:25,09:55
SCH00086,LHP0059,Sat,Thu 7,Ca1,06:45,09:25,A2,9,A2-0913,107,78,0.92,0.23,06:15,06:45,09:25,09:55
SCH00087,LHP0059,Wed,Thu 4,Ca2,09:35,12:15,A2,3,A2-0308,101,78,0.92,0.23,09:05,09:35,12:15,12:45
SCH00088,LHP0060,Fri,Thu 6,Ca1,06:45,09:25,A2,10,A2-1011,114,41,0.91,0.19,06:15,06:45,09:25,09:55
SCH00089,LHP0061,Thu,Thu 5,Ca2,09:35,12:15,B,2,B-0205,60,45,0.93,0.07,09:05,09:35,12:15,12:45
SCH00090,LHP0062,Mon,Thu 2,Ca3,13:00,15:40,A2,9,A2-0911,120,72,0.86,0.16,12:30,13:00,15:40,16:10
SCH00091,LHP0063,Thu,Thu 5,Ca3,13:00,15:40,A2,4,A2-0414,116,69,0.91,0.23,12:30,13:00,15:40,16:10
SCH00092,LHP0064,Fri,Thu 6,Ca1,06:45,09:25,A2,7,A2-0708,100,58,0.93,0.2,06:15,06:45,09:25,09:55
SCH00093,LHP0065,Wed,Thu 4,Ca1,06:45,09:25,A2,8,A2-0802,111,78,0.8,0.18,06:15,06:45,09:25,09:55
SCH00094,LHP0065,Thu,Thu 5,Ca4,15:50,18:30,A2,1,A2-0112,107,78,0.8,0.18,15:20,15:50,18:30,19:00
SCH00095,LHP0066,Thu,Thu 5,Ca1,06:45,09:25,D,5,D-0501,67,61,0.88,0.1,06:15,06:45,09:25,09:55
SCH00096,LHP0067,Thu,Thu 5,Ca2,09:35,12:15,A2,9,A2-0903,94,45,0.8,0.11,09:05,09:35,12:15,12:45
SCH00097,LHP0068,Sat,Thu 7,Ca1,06:45,09:25,C,2,C-0205,42,39,0.8,0.19,06:15,06:45,09:25,09:55
SCH00098,LHP0068,Tue,Thu 3,Ca3,13:00,15:40,A2,3,A2-0312,86,39,0.8,0.19,12:30,13:00,15:40,16:10
SCH00099,LHP0069,Mon,Thu 2,Ca3,13:00,15:40,D,2,D-0203,80,56,0.83,0.16,12:30,13:00,15:40,16:10
SCH00100,LHP0070,Tue,Thu 3,Ca2,09:35,12:15,C,3,C-0306,59,56,0.83,0.2,09:05,09:35,12:15,12:45
SCH00101,LHP0070,Mon,Thu 2,Ca1,06:45,09:25,C,2,C-0201,58,56,0.83,0.2,06:15,06:45,09:25,09:55
SCH00102,LHP0071,Wed,Thu 4,Ca2,09:35,12:15,A2,4,A2-0402,96,78,0.87,0.15,09:05,09:35,12:15,12:45
SCH00103,LHP0071,Mon,Thu 2,Ca2,09:35,12:15,A2,4,A2-0405,114,78,0.87,0.15,09:05,09:35,12:15,12:45
SCH00104,LHP0072,Wed,Thu 4,Ca1,06:45,09:25,A2,2,A2-0212,108,78,0.83,0.23,06:15,06:45,09:25,09:55
SCH00105,LHP0072,Fri,Thu 6,Ca1,06:45,09:25,A2,1,A2-0109,114,78,0.83,0.23,06:15,06:45,09:25,09:55
SCH00106,LHP0073,Wed,Thu 4,Ca3,13:00,15:40,A2,10,A2-1014,87,77,0.9,0.21,12:30,13:00,15:40,16:10
SCH00107,LHP0073,Mon,Thu 2,Ca1,06:45,09:25,A2,7,A2-0704,100,77,0.9,0.21,06:15,06:45,09:25,09:55
SCH00108,LHP0074,Thu,Thu 5,Ca1,06:45,09:25,A2,3,A2-0307,93,44,0.8,0.15,06:15,06:45,09:25,09:55
SCH00109,LHP0075,Sat,Thu 7,Ca2,09:35,12:15,A2,7,A2-0705,83,76,0.78,0.14,09:05,09:35,12:15,12:45
SCH00110,LHP0076,Tue,Thu 3,Ca1,06:45,09:25,A2,10,A2-1012,97,64,0.76,0.13,06:15,06:45,09:25,09:55
SCH00111,LHP0077,Mon,Thu 2,Ca1,06:45,09:25,A2,6,A2-0606,118,35,0.88,0.08,06:15,06:45,09:25,09:55
SCH00112,LHP0078,Sat,Thu 7,Ca2,09:35,12:15,C,3,C-0307,53,46,0.83,0.09,09:05,09:35,12:15,12:45
SCH00113,LHP0079,Fri,Thu 6,Ca3,13:00,15:40,A2,4,A2-0411,120,47,0.9,0.22,12:30,13:00,15:40,16:10
SCH00114,LHP0080,Wed,Thu 4,Ca4,15:50,18:30,A2,7,A2-0712,93,60,0.75,0.16,15:20,15:50,18:30,19:00
SCH00115,LHP0080,Thu,Thu 5,Ca4,15:50,18:30,A2,1,A2-0108,86,60,0.75,0.16,15:20,15:50,18:30,19:00
SCH00116,LHP0081,Thu,Thu 5,Ca2,09:35,12:15,A2,2,A2-0212,108,44,0.88,0.21,09:05,09:35,12:15,12:45
SCH00117,LHP0081,Tue,Thu 3,Ca4,15:50,18:30,A2,9,A2-0909,87,44,0.88,0.21,15:20,15:50,18:30,19:00
SCH00118,LHP0082,Fri,Thu 6,Ca3,13:00,15:40,B,1,B-0106,48,45,0.79,0.05,12:30,13:00,15:40,16:10
SCH00119,LHP0083,Mon,Thu 2,Ca3,13:00,15:40,B,2,B-0203,60,60,0.88,0.16,12:30,13:00,15:40,16:10
SCH00120,LHP0084,Fri,Thu 6,Ca2,09:35,12:15,A2,10,A2-1006,113,79,0.82,0.17,09:05,09:35,12:15,12:45
SCH00121,LHP0084,Wed,Thu 4,Ca1,06:45,09:25,A2,4,A2-0413,103,79,0.82,0.17,06:15,06:45,09:25,09:55
SCH00122,LHP0085,Tue,Thu 3,Ca1,06:45,09:25,D,1,D-0105,82,79,0.91,0.24,06:15,06:45,09:25,09:55
SCH00123,LHP0086,Fri,Thu 6,Ca1,06:45,09:25,A2,9,A2-0902,103,49,0.87,0.23,06:15,06:45,09:25,09:55
SCH00124,LHP0087,Wed,Thu 4,Ca2,09:35,12:15,A2,9,A2-0908,83,34,0.87,0.22,09:05,09:35,12:15,12:45
SCH00125,LHP0088,Mon,Thu 2,Ca1,06:45,09:25,A2,10,A2-1001,84,73,0.87,0.07,06:15,06:45,09:25,09:55
SCH00126,LHP0088,Fri,Thu 6,Ca1,06:45,09:25,A2,5,A2-0512,120,73,0.87,0.07,06:15,06:45,09:25,09:55
SCH00127,LHP0089,Thu,Thu 5,Ca2,09:35,12:15,A2,1,A2-0107,88,52,0.86,0.18,09:05,09:35,12:15,12:45
SCH00128,LHP0090,Mon,Thu 2,Ca3,13:00,15:40,B,1,B-0107,56,30,0.92,0.21,12:30,13:00,15:40,16:10
SCH00129,LHP0091,Mon,Thu 2,Ca1,06:45,09:25,A2,4,A2-0402,96,70,0.93,0.14,06:15,06:45,09:25,09:55
SCH00130,LHP0092,Wed,Thu 4,Ca3,13:00,15:40,A2,9,A2-0907,85,76,0.85,0.18,12:30,13:00,15:40,16:10
SCH00131,LHP0092,Mon,Thu 2,Ca3,13:00,15:40,D,2,D-0206,88,76,0.85,0.18,12:30,13:00,15:40,16:10
SCH00132,LHP0093,Wed,Thu 4,Ca3,13:00,15:40,A2,3,A2-0313,102,79,0.85,0.14,12:30,13:00,15:40,16:10
SCH00133,LHP0093,Mon,Thu 2,Ca3,13:00,15:40,A2,7,A2-0713,116,79,0.85,0.14,12:30,13:00,15:40,16:10
SCH00134,LHP0094,Mon,Thu 2,Ca1,06:45,09:25,A2,4,A2-0411,120,50,0.92,0.22,06:15,06:45,09:25,09:55
SCH00135,LHP0095,Fri,Thu 6,Ca1,06:45,09:25,A2,10,A2-1008,115,45,0.9,0.16,06:15,06:45,09:25,09:55
SCH00136,LHP0095,Mon,Thu 2,Ca1,06:45,09:25,A2,9,A2-0906,111,45,0.9,0.16,06:15,06:45,09:25,09:55
SCH00137,LHP0096,Wed,Thu 4,Ca1,06:45,09:25,A2,9,A2-0913,107,31,0.85,0.12,06:15,06:45,09:25,09:55
SCH00138,LHP0097,Wed,Thu 4,Ca3,13:00,15:40,A2,8,A2-0809,115,46,0.82,0.23,12:30,13:00,15:40,16:10
SCH00139,LHP0097,Fri,Thu 6,Ca3,13:00,15:40,A2,6,A2-0603,93,46,0.82,0.23,12:30,13:00,15:40,16:10
SCH00140,LHP0098,Fri,Thu 6,Ca3,13:00,15:40,A2,6,A2-0609,114,65,0.75,0.24,12:30,13:00,15:40,16:10
SCH00141,LHP0099,Wed,Thu 4,Ca1,06:45,09:25,A2,6,A2-0601,103,61,0.86,0.1,06:15,06:45,09:25,09:55
SCH00142,LHP0100,Sat,Thu 7,Ca1,06:45,09:25,D,5,D-0508,76,58,0.91,0.07,06:15,06:45,09:25,09:55
SCH00143,LHP0101,Wed,Thu 4,Ca3,13:00,15:40,B,1,B-0101,49,49,0.88,0.12,12:30,13:00,15:40,16:10
SCH00144,LHP0102,Mon,Thu 2,Ca1,06:45,09:25,B,3,B-0307,59,57,0.95,0.16,06:15,06:45,09:25,09:55
SCH00145,LHP0103,Sat,Thu 7,Ca2,09:35,12:15,D,1,D-0105,82,47,0.81,0.1,09:05,09:35,12:15,12:45
SCH00146,LHP0103,Mon,Thu 2,Ca1,06:45,09:25,A2,4,A2-0408,85,47,0.81,0.1,06:15,06:45,09:25,09:55
SCH00147,LHP0104,Mon,Thu 2,Ca3,13:00,15:40,B,1,B-0105,40,37,0.9,0.24,12:30,13:00,15:40,16:10
SCH00148,LHP0104,Wed,Thu 4,Ca2,09:35,12:15,A2,2,A2-0201,85,37,0.9,0.24,09:05,09:35,12:15,12:45
SCH00149,LHP0105,Fri,Thu 6,Ca3,13:00,15:40,A2,5,A2-0508,86,43,0.9,0.11,12:30,13:00,15:40,16:10
SCH00150,LHP0106,Tue,Thu 3,Ca1,06:45,09:25,D,5,D-0505,87,68,0.81,0.07,06:15,06:45,09:25,09:55
SCH00151,LHP0107,Mon,Thu 2,Ca2,09:35,12:15,A2,8,A2-0814,117,53,0.79,0.05,09:05,09:35,12:15,12:45
SCH00152,LHP0108,Wed,Thu 4,Ca3,13:00,15:40,B,2,B-0201,56,32,0.94,0.16,12:30,13:00,15:40,16:10
SCH00153,LHP0108,Sat,Thu 7,Ca2,09:35,12:15,A2,10,A2-1002,104,32,0.94,0.16,09:05,09:35,12:15,12:45
SCH00154,LHP0109,Mon,Thu 2,Ca1,06:45,09:25,A2,7,A2-0710,97,70,0.92,0.15,06:15,06:45,09:25,09:55
SCH00155,LHP0109,Wed,Thu 4,Ca2,09:35,12:15,A2,6,A2-0613,104,70,0.92,0.15,09:05,09:35,12:15,12:45
SCH00156,LHP0110,Sat,Thu 7,Ca1,06:45,09:25,D,1,D-0103,84,48,0.84,0.14,06:15,06:45,09:25,09:55
SCH00157,LHP0111,Wed,Thu 4,Ca1,06:45,09:25,A2,8,A2-0810,114,46,0.94,0.15,06:15,06:45,09:25,09:55
SCH00158,LHP0111,Mon,Thu 2,Ca1,06:45,09:25,A2,7,A2-0705,83,46,0.94,0.15,06:15,06:45,09:25,09:55
SCH00159,LHP0112,Thu,Thu 5,Ca1,06:45,09:25,A2,6,A2-0605,84,61,0.76,0.18,06:15,06:45,09:25,09:55
SCH00160,LHP0113,Sat,Thu 7,Ca2,09:35,12:15,A2,3,A2-0307,93,66,0.94,0.07,09:05,09:35,12:15,12:45
SCH00161,LHP0114,Sat,Thu 7,Ca3,13:00,15:40,A2,1,A2-0106,94,78,0.83,0.17,12:30,13:00,15:40,16:10
SCH00162,LHP0114,Wed,Thu 4,Ca1,06:45,09:25,A2,4,A2-0414,116,78,0.83,0.17,06:15,06:45,09:25,09:55
SCH00163,LHP0115,Fri,Thu 6,Ca1,06:45,09:25,D,1,D-0108,69,54,0.84,0.14,06:15,06:45,09:25,09:55
SCH00164,LHP0115,Wed,Thu 4,Ca3,13:00,15:40,B,2,B-0203,60,54,0.84,0.14,12:30,13:00,15:40,16:10
SCH00165,LHP0116,Sat,Thu 7,Ca2,09:35,12:15,B,1,B-0104,54,49,0.86,0.06,09:05,09:35,12:15,12:45
SCH00166,LHP0116,Thu,Thu 5,Ca3,13:00,15:40,A2,10,A2-1013,101,49,0.86,0.06,12:30,13:00,15:40,16:10
SCH00167,LHP0117,Mon,Thu 2,Ca1,06:45,09:25,A2,2,A2-0204,112,78,0.79,0.09,06:15,06:45,09:25,09:55
SCH00168,LHP0117,Wed,Thu 4,Ca1,06:45,09:25,A2,2,A2-0213,117,78,0.79,0.09,06:15,06:45,09:25,09:55
SCH00169,LHP0118,Fri,Thu 6,Ca2,09:35,12:15,D,4,D-0406,82,45,0.78,0.07,09:05,09:35,12:15,12:45
SCH00170,LHP0119,Sat,Thu 7,Ca3,13:00,15:40,D,1,D-0107,82,74,0.87,0.11,12:30,13:00,15:40,16:10
SCH00171,LHP0120,Tue,Thu 3,Ca2,09:35,12:15,A2,2,A2-0211,94,74,0.92,0.06,09:05,09:35,12:15,12:45
SCH00172,LHP0121,Mon,Thu 2,Ca1,06:45,09:25,A2,2,A2-0210,106,80,0.91,0.17,06:15,06:45,09:25,09:55
SCH00173,LHP0121,Tue,Thu 3,Ca3,13:00,15:40,A2,3,A2-0309,86,80,0.91,0.17,12:30,13:00,15:40,16:10
SCH00174,LHP0122,Mon,Thu 2,Ca2,09:35,12:15,A2,8,A2-0808,95,57,0.77,0.09,09:05,09:35,12:15,12:45
SCH00175,LHP0123,Tue,Thu 3,Ca2,09:35,12:15,A2,7,A2-0713,116,39,0.76,0.08,09:05,09:35,12:15,12:45
SCH00176,LHP0124,Wed,Thu 4,Ca3,13:00,15:40,C,2,C-0201,58,48,0.84,0.14,12:30,13:00,15:40,16:10
SCH00177,LHP0125,Wed,Thu 4,Ca1,06:45,09:25,C,1,C-0105,49,47,0.85,0.15,06:15,06:45,09:25,09:55
SCH00178,LHP0126,Fri,Thu 6,Ca3,13:00,15:40,A2,6,A2-0605,84,57,0.9,0.17,12:30,13:00,15:40,16:10
SCH00179,LHP0127,Wed,Thu 4,Ca1,06:45,09:25,A2,10,A2-1003,104,73,0.92,0.17,06:15,06:45,09:25,09:55
SCH00180,LHP0127,Fri,Thu 6,Ca3,13:00,15:40,A2,9,A2-0912,90,73,0.92,0.17,12:30,13:00,15:40,16:10
SCH00181,LHP0128,Mon,Thu 2,Ca1,06:45,09:25,A2,5,A2-0506,85,66,0.76,0.2,06:15,06:45,09:25,09:55
SCH00182,LHP0129,Fri,Thu 6,Ca4,15:50,18:30,B,1,B-0107,56,47,0.79,0.17,15:20,15:50,18:30,19:00
SCH00183,LHP0129,Tue,Thu 3,Ca3,13:00,15:40,A2,2,A2-0208,92,47,0.79,0.17,12:30,13:00,15:40,16:10
SCH00184,LHP0130,Wed,Thu 4,Ca3,13:00,15:40,D,1,D-0107,82,35,0.84,0.13,12:30,13:00,15:40,16:10
SCH00185,LHP0131,Sat,Thu 7,Ca4,15:50,18:30,C,2,C-0201,58,40,0.82,0.19,15:20,15:50,18:30,19:00
SCH00186,LHP0132,Tue,Thu 3,Ca1,06:45,09:25,A2,2,A2-0212,108,78,0.86,0.14,06:15,06:45,09:25,09:55
SCH00187,LHP0133,Fri,Thu 6,Ca1,06:45,09:25,A2,10,A2-1006,113,37,0.94,0.13,06:15,06:45,09:25,09:55
SCH00188,LHP0134,Mon,Thu 2,Ca3,13:00,15:40,D,1,D-0103,84,72,0.92,0.14,12:30,13:00,15:40,16:10
