class_id,course_code,course_name,department,group_no,num_students,motorbike_ratio,dorm_ratio,sessions_per_week
LHP0035,NGH104,Nghien cuu thi truong,Marketing,Nhom04,40,0.95,0.21,2
LHP0036,KIN106,Kinh te vi mo,Kinh te hoc,Nhom06,41,0.9,0.12,2
LHP0037,NGH105,Nghien cuu thi truong,Marketing,Nhom05,47,0.78,0.19,1
LHP0038,KIN107,Kinh te vi mo,Kinh te hoc,Nhom07,60,0.79,0.21,1
LHP0039,LUA101,Luat doanh nghiep,Luat,Nhom01,80,0.92,0.09,2
LHP0040,XAC101,Xac suat thong ke,Toan kinh te,Nhom01,51,0.81,0.06,2
LHP0041,LAP102,Lap trinh co ban,He thong thong tin quan ly,Nhom02,71,0.85,0.19,2
LHP0042,PHA101,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom01,31,0.77,0.24,1
LHP0043,QUA102,Quan tri thuong hieu,Marketing,Nhom02,32,0.77,0.14,2
LHP0044,HE102,He thong thong tin quan ly,He thong thong tin quan ly,Nhom02,57,0.87,0.15,1
LHP0045,KIN103,Kinh doanh quoc te,Kinh doanh quoc te,Nhom03,42,0.8,0.19,1
LHP0046,TU102,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom02,73,0.89,0.2,2
LHP0047,TOA101,Toan cao cap 1,Toan kinh te,Nhom01,57,0.76,0.18,1
LHP0048,HE103,He thong thong tin quan ly,He thong thong tin quan ly,Nhom03,72,0.92,0.19,1
LHP0049,LUA102,Luat doanh nghiep,Luat,Nhom02,72,0.83,0.13,1
LHP0050,TIE102,Tien te ngan hang,Tai chinh - Ngan hang,Nhom02,42,0.83,0.24,2
LHP0051,QUA101,Quan tri chien luoc,Quan tri kinh doanh,Nhom01,69,0.86,0.13,2
LHP0052,LUA103,Luat doanh nghiep,Luat,Nhom03,48,0.79,0.21,2
LHP0053,HE104,He thong thong tin quan ly,He thong thong tin quan ly,Nhom04,59,0.84,0.19,1
LHP0054,QUA101,Quan tri hoc,Quan tri kinh doanh,Nhom01,72,0.77,0.15,2
LHP0055,PHA102,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom02,35,0.91,0.2,2
LHP0056,MAR101,Marketing can ban,Marketing,Nhom01,42,0.78,0.06,2
LHP0057,KIN101,Kinh te bat dong san,Bat dong san,Nhom01,79,0.76,0.13,2
LHP0058,QUA103,Quan tri nhan luc,Quan tri kinh doanh,Nhom03,75,0.89,0.15,1
LHP0059,KIN108,Kinh te vi mo,Kinh te hoc,Nhom08,78,0.92,0.23,2
LHP0060,MAR102,Marketing can ban,Marketing,Nhom02,41,0.91,0.19,1
LHP0061,THO104,Thong ke kinh doanh,Thong ke,Nhom04,45,0.93,0.07,1
LHP0062,TIE103,Tieng Anh 2,Ngoai ngu,Nhom03,72,0.86,0.16,1
LHP0063,TIE101,Tieng Anh 1,Ngoai ngu,Nhom01,69,0.91,0.23,1
LHP0064,THO105,Thong ke kinh doanh,Thong ke,Nhom05,58,0.93,0.2,1
LHP0065,QUA103,Quan tri thuong hieu,Marketing,Nhom03,78,0.8,0.18,2
LHP0066,CHU103,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom03,61,0.88,0.1,1
LHP0067,LUA101,Luat kinh te,Luat,Nhom01,45,0.8,0.11,1
LHP0068,TIE103,Tien te ngan hang,Tai chinh - Ngan hang,Nhom03,39,0.8,0.19,2
LHP0069,NGU101,Nguyen ly ke toan,Ke toan,Nhom01,56,0.83,0.16,1
LHP0070,KHO102,Khoi nghiep kinh doanh,Quan tri kinh doanh,Nhom02,56,0.83,0.2,2
LHP0071,KIN109,Kinh te vi mo,Kinh te hoc,Nhom09,78,0.87,0.15,2
LHP0072,LUA104,Luat doanh nghiep,Luat,Nhom04,78,0.83,0.23,2
LHP0073,TU103,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom03,77,0.9,0.21,2
LHP0074,TRI101,Triet hoc Mac-Lenin,Ly luan chinh tri,Nhom01,44,0.8,0.15,1
LHP0075,XAC102,Xac suat thong ke,Toan kinh te,Nhom02,76,0.78,0.14,1
LHP0076,KIN102,Kinh te bat dong san,Bat dong san,Nhom02,64,0.76,0.13,1
LHP0077,KIN110,Kinh te vi mo,Kinh te hoc,Nhom10,35,0.88,0.08,1
LHP0078,KIN111,Kinh te vi mo,Kinh te hoc,Nhom11,46,0.83,0.09,1
LHP0079,TOA102,Toan cao cap 2,Toan kinh te,Nhom02,47,0.9,0.22,1
LHP0080,KE103,Ke toan tai chinh,Ke toan,Nhom03,60,0.75,0.16,2
LHP0081,LAP103,Lap trinh co ban,He thong thong tin quan ly,Nhom03,44,0.88,0.21,2
LHP0082,KIN112,Kinh te vi mo,Kinh te hoc,Nhom12,45,0.79,0.05,1
LHP0083,TIE104,Tien te ngan hang,Tai chinh - Ngan hang,Nhom04,60,0.88,0.16,1
LHP0084,QUA104,Quan tri thuong hieu,Marketing,Nhom04,79,0.82,0.17,2
LHP0085,TAI101,Tai chinh doanh nghiep,Tai chinh - Ngan hang,Nhom01,79,0.91,0.24,1
LHP0086,KIN113,Kinh te vi mo,Kinh te hoc,Nhom13,49,0.87,0.23,1
LHP0087,QUA104,Quan tri nhan luc,Quan tri kinh doanh,Nhom04,34,0.87,0.22,1
LHP0088,LUA105,Luat doanh nghiep,Luat,Nhom05,73,0.87,0.07,2
LHP0089,KIN114,Kinh te vi mo,Kinh te hoc,Nhom14,52,0.86,0.18,1
LHP0090,PHA103,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom03,30,0.92,0.21,1
LHP0091,TOA102,Toan cao cap 1,Toan kinh te,Nhom02,70,0.93,0.14,1
LHP0092,QUA102,Quan tri chien luoc,Quan tri kinh doanh,Nhom02,76,0.85,0.18,2
LHP0093,TU104,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom04,79,0.85,0.14,2
LHP0094,PHA101,Phap luat dai cuong,Luat,Nhom01,50,0.92,0.22,1
LHP0095,TIE102,Tieng Anh 1,Ngoai ngu,Nhom02,45,0.9,0.16,2
LHP0096,PHA104,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom04,31,0.85,0.12,1
LHP0097,LAP104,Lap trinh co ban,He thong thong tin quan ly,Nhom04,46,0.82,0.23,2
LHP0098,PHA102,Phap luat dai cuong,Luat,Nhom02,65,0.75,0.24,1
LHP0099,KIN101,Kinh te luong,Toan kinh te,Nhom01,61,0.86,0.1,1
LHP0100,TRI102,Triet hoc Mac-Lenin,Ly luan chinh tri,Nhom02,58,0.91,0.07,1
LHP0101,NGH106,Nghien cuu thi truong,Marketing,Nhom06,49,0.88,0.12,1
LHP0102,LAP105,Lap trinh co ban,He thong thong tin quan ly,Nhom05,57,0.95,0.16,1
LHP0103,TIE104,Tieng Anh 2,Ngoai ngu,Nhom04,47,0.81,0.1,2
LHP0104,HE105,He thong thong tin quan ly,He thong thong tin quan ly,Nhom05,37,0.9,0.24,2
LHP0105,QUA105,Quan tri nhan luc,Quan tri kinh doanh,Nhom05,43,0.9,0.11,1
LHP0106,CHU104,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom04,68,0.81,0.07,1
LHP0107,MAR103,Marketing can ban,Marketing,Nhom03,53,0.79,0.05,1
LHP0108,PHA103,Phap luat dai cuong,Luat,Nhom03,32,0.94,0.16,2
LHP0109,TIE105,Tien te ngan hang,Tai chinh - Ngan hang,Nhom05,70,0.92,0.15,2
LHP0110,KIN104,Kinh doanh quoc te,Kinh doanh quoc te,Nhom04,48,0.84,0.14,1
LHP0111,KIN115,Kinh te vi mo,Kinh te hoc,Nhom15,46,0.94,0.15,2
LHP0112,XAC103,Xac suat thong ke,Toan kinh te,Nhom03,61,0.76,0.18,1
LHP0113,THI103,Thi truong chung khoan,Tai chinh - Ngan hang,Nhom03,66,0.94,0.07,1
LHP0114,THO106,Thong ke kinh doanh,Thong ke,Nhom06,78,0.83,0.17,2
LHP0115,CHU105,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom05,54,0.84,0.14,2
LHP0116,TOI103,Toi uu hoa,Toan kinh te,Nhom03,49,0.86,0.06,2
LHP0117,KIE102,Kiem toan can ban,Ke toan,Nhom02,78,0.79,0.09,2
LHP0118,QUA102,Quan tri hoc,Quan tri kinh doanh,Nhom02,45,0.78,0.07,1
LHP0119,TIE103,Tieng Anh 1,Ngoai ngu,Nhom03,74,0.87,0.11,1
LHP0120,LUA102,Luat kinh te,Luat,Nhom02,74,0.92,0.06,1
LHP0121,QUA105,Quan tri thuong hieu,Marketing,Nhom05,80,0.91,0.17,2
LHP0122,QUA106,Quan tri nhan luc,Quan tri kinh doanh,Nhom06,57,0.77,0.09,1
LHP0123,PHA104,Phap luat dai cuong,Luat,Nhom04,39,0.76,0.08,1
LHP0124,KIN105,Kinh doanh quoc te,Kinh doanh quoc te,Nhom05,48,0.84,0.14,1
LHP0125,XAC104,Xac suat thong ke,Toan kinh te,Nhom04,47,0.85,0.15,1
LHP0126,KIN116,Kinh te vi mo,Kinh te hoc,Nhom16,57,0.9,0.17,1
LHP0127,MAR104,Marketing can ban,Marketing,Nhom04,73,0.92,0.17,2
LHP0128,PHA105,Phap luat dai cuong,Luat,Nhom05,66,0.76,0.2,1
LHP0129,TIE104,Tieng Anh 1,Ngoai ngu,Nhom04,47,0.79,0.17,2
LHP0130,TRI103,Triet hoc Mac-Lenin,Ly luan chinh tri,Nhom03,35,0.84,0.13,1
LHP0131,KIE103,Kiem toan can ban,Ke toan,Nhom03,40,0.82,0.19,1
LHP0132,XAC105,Xac suat thong ke,Toan kinh te,Nhom05,78,0.86,0.14,1
LHP0133,HE106,He thong thong tin quan ly,He thong thong tin quan ly,Nhom06,37,0.94,0.13,1
LHP0134,KIN117,Kinh te vi mo,Kinh te hoc,Nhom17,72,0.92,0.14,1
LHP0135,CHU106,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom06,53,0.87,0.15,1
LHP0136,KIN118,Kinh te vi mo,Kinh te hoc,Nhom18,43,0.8,0.08,1
LHP0137,TRI104,Triet hoc Mac-Lenin,Ly luan chinh tri,Nhom04,37,0.76,0.18,2
LHP0138,QUA103,Quan tri hoc,Quan tri kinh doanh,Nhom03,49,0.86,0.16,1
LHP0139,TAI102,Tai chinh doanh nghiep,Tai chinh - Ngan hang,Nhom02,59,0.94,0.18,1
LHP0140,LUA103,Luat kinh te,Luat,Nhom03,62,0.89,0.13,1
LHP0141,TIE101,Tieng Anh chuyen nganh,Ngoai ngu,Nhom01,45,0.84,0.08,1
LHP0142,BAO102,Bao hiem dai cuong,Bao hiem,Nhom02,62,0.9,0.08,1
LHP0143,KIN102,Kinh te luong,Toan kinh te,Nhom02,51,0.94,0.15,2
LHP0144,LUA104,Luat kinh te,Luat,Nhom04,76,0.81,0.17,2
LHP0145,TRI105,Triet hoc Mac-Lenin,Ly luan chinh tri,Nhom05,39,0.84,0.15,1
LHP0146,TU105,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom05,54,0.84,0.11,1
LHP0147,NGH107,Nghien cuu thi truong,Marketing,Nhom07,66,0.83,0.22,1
LHP0148,HE107,He thong thong tin quan ly,He thong thong tin quan ly,Nhom07,77,0.84,0.23,1
LHP0149,THI104,Thi truong chung khoan,Tai chinh - Ngan hang,Nhom04,61,0.94,0.08,2
LHP0150,PHA105,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom05,36,0.92,0.14,1
LHP0151,TIE105,Tieng Anh 2,Ngoai ngu,Nhom05,30,0.89,0.13,2
LHP0152,THI105,Thi truong chung khoan,Tai chinh - Ngan hang,Nhom05,34,0.84,0.24,1
LHP0153,XAC106,Xac suat thong ke,Toan kinh te,Nhom06,71,0.77,0.12,2
LHP0154,TU106,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom06,54,0.94,0.18,2
LHP0155,TRI106,Triet hoc Mac-Lenin,Ly luan chinh tri,Nhom06,64,0.76,0.06,2
LHP0156,LUA105,Luat kinh te,Luat,Nhom05,44,0.9,0.14,1
LHP0157,KIE104,Kiem toan can ban,Ke toan,Nhom04,58,0.78,0.11,1
LHP0158,HE108,He thong thong tin quan ly,He thong thong tin quan ly,Nhom08,80,0.76,0.12,1
LHP0159,NGH108,Nghien cuu thi truong,Marketing,Nhom08,63,0.83,0.19,1
LHP0160,QUA103,Quan tri chien luoc,Quan tri kinh doanh,Nhom03,35,0.87,0.13,2
LHP0161,TRI107,Triet hoc Mac-Lenin,Ly luan chinh tri,Nhom07,67,0.78,0.14,1
LHP0162,QUA106,Quan tri thuong hieu,Marketing,Nhom06,72,0.75,0.21,2
LHP0163,TU107,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom07,40,0.76,0.24,2
LHP0164,LUA106,Luat doanh nghiep,Luat,Nhom06,70,0.94,0.19,1
LHP0165,LUA107,Luat doanh nghiep,Luat,Nhom07,42,0.95,0.22,1
LHP0166,TOA103,Toan cao cap 2,Toan kinh te,Nhom03,66,0.82,0.11,2
LHP0167,KIN119,Kinh te vi mo,Kinh te hoc,Nhom19,72,0.83,0.05,2
LHP0168,KIN120,Kinh te vi mo,Kinh te hoc,Nhom20,68,0.9,0.22,2
LHP0169,MAR105,Marketing can ban,Marketing,Nhom05,68,0.91,0.09,1
LHP0170,QUA107,Quan tri thuong hieu,Marketing,Nhom07,73,0.9,0.2,2
LHP0171,TIE106,Tien te ngan hang,Tai chinh - Ngan hang,Nhom06,70,0.77,0.18,1
LHP0172,TIE105,Tieng Anh 1,Ngoai ngu,Nhom05,32,0.87,0.2,1
LHP0173,LUA106,Luat kinh te,Luat,Nhom06,50,0.9,0.09,1
LHP0174,TU108,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom08,53,0.86,0.23,2
LHP0175,QUA108,Quan tri thuong hieu,Marketing,Nhom08,60,0.94,0.11,2
LHP0176,TAI103,Tai chinh doanh nghiep,Tai chinh - Ngan hang,Nhom03,59,0.94,0.08,2
LHP0177,XAC107,Xac suat thong ke,Toan kinh te,Nhom07,65,0.82,0.21,1
LHP0178,TU109,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom09,37,0.84,0.18,2
LHP0179,LOG101,Logistics va chuoi cung ung,Kinh doanh quoc te,Nhom01,54,0.91,0.24,1
LHP0180,MAR106,Marketing can ban,Marketing,Nhom06,60,0.76,0.23,1
LHP0181,KIN103,Kinh te bat dong san,Bat dong san,Nhom03,44,0.88,0.18,1
LHP0182,LUA108,Luat doanh nghiep,Luat,Nhom08,71,0.83,0.08,2
LHP0183,LUA109,Luat doanh nghiep,Luat,Nhom09,61,0.77,0.1,1
LHP0184,TOA104,Toan cao cap 2,Toan kinh te,Nhom04,59,0.82,0.24,2
LHP0185,TU110,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom10,56,0.87,0.2,2
LHP0186,KIE105,Kiem toan can ban,Ke toan,Nhom05,61,0.87,0.24,1
LHP0187,TOA103,Toan cao cap 1,Toan kinh te,Nhom03,43,0.84,0.24,2
LHP0188,KIE106,Kiem toan can ban,Ke toan,Nhom06,73,0.82,0.23,2
LHP0189,KIN121,Kinh te vi mo,Kinh te hoc,Nhom21,55,0.81,0.24,2
LHP0190,TIE106,Tieng Anh 2,Ngoai ngu,Nhom06,35,0.88,0.18,1
LHP0191,KIN122,Kinh te vi mo,Kinh te hoc,Nhom22,33,0.91,0.1,1
LHP0192,KIN106,Kinh doanh quoc te,Kinh doanh quoc te,Nhom06,43,0.76,0.2,1
LHP0193,KHO103,Khoi nghiep kinh doanh,Quan tri kinh doanh,Nhom03,44,0.82,0.08,2
LHP0194,KIN123,Kinh te vi mo,Kinh te hoc,Nhom23,47,0.92,0.08,1
LHP0195,QUA109,Quan tri thuong hieu,Marketing,Nhom09,41,0.77,0.22,1
LHP0196,LAP106,Lap trinh co ban,He thong thong tin quan ly,Nhom06,80,0.91,0.17,1
LHP0197,QUA110,Quan tri thuong hieu,Marketing,Nhom10,33,0.78,0.13,1
LHP0198,NGU102,Nguyen ly ke toan,Ke toan,Nhom02,60,0.84,0.12,1
LHP0199,TIE106,Tieng Anh 1,Ngoai ngu,Nhom06,62,0.79,0.17,2
LHP0200,CHU107,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom07,49,0.84,0.24,1
LHP0201,TIE102,Tieng Anh chuyen nganh,Ngoai ngu,Nhom02,55,0.84,0.07,2
LHP0202,TIE107,Tieng Anh 1,Ngoai ngu,Nhom07,34,0.93,0.11,1
LHP0203,TIE107,Tien te ngan hang,Tai chinh - Ngan hang,Nhom07,47,0.87,0.17,2
LHP0204,TOA105,Toan cao cap 2,Toan kinh te,Nhom05,68,0.86,0.14,2
LHP0205,KIE107,Kiem toan can ban,Ke toan,Nhom07,80,0.89,0.22,2
LHP0206,THO107,Thong ke kinh doanh,Thong ke,Nhom07,76,0.92,0.14,2
LHP0207,KIN103,Kinh te luong,Toan kinh te,Nhom03,51,0.92,0.13,2
LHP0208,HE109,He thong thong tin quan ly,He thong thong tin quan ly,Nhom09,57,0.81,0.1,2
LHP0209,TIE103,Tieng Anh chuyen nganh,Ngoai ngu,Nhom03,34,0.77,0.07,1
LHP0210,TOA104,Toan cao cap 1,Toan kinh te,Nhom04,38,0.86,0.17,1
LHP0211,PHA106,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom06,72,0.77,0.12,2
LHP0212,TOI104,Toi uu hoa,Toan kinh te,Nhom04,76,0.76,0.11,1
LHP0213,KIE108,Kiem toan can ban,Ke toan,Nhom08,66,0.85,0.08,1
LHP0214,KIE109,Kiem toan can ban,Ke toan,Nhom09,52,0.92,0.12,2
LHP0215,KIN107,Kinh doanh quoc te,Kinh doanh quoc te,Nhom07,44,0.91,0.22,2
LHP0216,KIN104,Kinh te bat dong san,Bat dong san,Nhom04,69,0.88,0.16,2
LHP0217,PHA106,Phap luat dai cuong,Luat,Nhom06,31,0.79,0.19,1
LHP0218,PHA107,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom07,52,0.75,0.22,1
LHP0219,XAC108,Xac suat thong ke,Toan kinh te,Nhom08,34,0.78,0.18,1
LHP0220,CHU108,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom08,43,0.83,0.14,1
LHP0221,LUA110,Luat doanh nghiep,Luat,Nhom10,76,0.81,0.24,1
LHP0222,KIN124,Kinh te vi mo,Kinh te hoc,Nhom24,39,0.78,0.17,2
LHP0223,PHA107,Phap luat dai cuong,Luat,Nhom07,58,0.88,0.15,1
LHP0224,PHA108,Phap luat dai cuong,Luat,Nhom08,43,0.9,0.07,1
LHP0225,LUA107,Luat kinh te,Luat,Nhom07,73,0.89,0.15,2
LHP0226,KIN125,Kinh te vi mo,Kinh te hoc,Nhom25,44,0.83,0.17,1
LHP0227,LUA111,Luat doanh nghiep,Luat,Nhom11,43,0.9,0.2,1
LHP0228,TAI104,Tai chinh doanh nghiep,Tai chinh - Ngan hang,Nhom04,30,0.85,0.14,1
LHP0229,TU111,Tu tuong Ho Chi Minh,Ly luan chinh tri,Nhom11,75,0.8,0.16,2
LHP0230,LAP107,Lap trinh co ban,He thong thong tin quan ly,Nhom07,34,0.83,0.2,1
LHP0231,TIE107,Tieng Anh 2,Ngoai ngu,Nhom07,34,0.92,0.17,1
LHP0232,KIN104,Kinh te luong,Toan kinh te,Nhom04,48,0.77,0.05,1
LHP0233,KIN105,Kinh te bat dong san,Bat dong san,Nhom05,59,0.92,0.23,1
LHP0234,KIE110,Kiem toan can ban,Ke toan,Nhom10,45,0.84,0.13,1
LHP0235,LUA112,Luat doanh nghiep,Luat,Nhom12,77,0.82,0.12,1
LHP0236,KIN101,Kinh te chinh tri,Ly luan chinh tri,Nhom01,70,0.77,0.15,2
LHP0237,LAP108,Lap trinh co ban,He thong thong tin quan ly,Nhom08,52,0.9,0.21,2
LHP0238,NGH109,Nghien cuu thi truong,Marketing,Nhom09,36,0.78,0.09,2
LHP0239,NGU103,Nguyen ly ke toan,Ke toan,Nhom03,41,0.94,0.18,1
LHP0240,KIN108,Kinh doanh quoc te,Kinh doanh quoc te,Nhom08,78,0.87,0.19,2
LHP0241,KIN106,Kinh te bat dong san,Bat dong san,Nhom06,50,0.92,0.18,1
LHP0242,NGU104,Nguyen ly ke toan,Ke toan,Nhom04,60,0.84,0.11,1
LHP0243,KIN126,Kinh te vi mo,Kinh te hoc,Nhom26,52,0.85,0.11,1
LHP0244,KIN127,Kinh te vi mo,Kinh te hoc,Nhom27,53,0.92,0.07,2
LHP0245,KE104,Ke toan tai chinh,Ke toan,Nhom04,69,0.87,0.13,1
LHP0246,KIN128,Kinh te vi mo,Kinh te hoc,Nhom28,58,0.93,0.16,1
LHP0247,BAO103,Bao hiem dai cuong,Bao hiem,Nhom03,60,0.85,0.24,1
LHP0248,PHA108,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom08,75,0.77,0.18,1
LHP0249,TIE108,Tieng Anh 1,Ngoai ngu,Nhom08,58,0.85,0.17,1
LHP0250,LUA108,Luat kinh te,Luat,Nhom08,54,0.83,0.12,1
LHP0251,PHA109,Phan tich du lieu kinh doanh,He thong thong tin quan ly,Nhom09,34,0.82,0.16,1
LHP0252,QUA111,Quan tri thuong hieu,Marketing,Nhom11,76,0.92,0.24,2
LHP0253,THI106,Thi truong chung khoan,Tai chinh - Ngan hang,Nhom06,51,0.77,0.18,2
LHP0254,LUA113,Luat doanh nghiep,Luat,Nhom13,71,0.89,0.13,1
LHP0255,KE105,Ke toan tai chinh,Ke toan,Nhom05,49,0.86,0.18,1
LHP0256,TIE108,Tien te ngan hang,Tai chinh - Ngan hang,Nhom08,72,0.89,0.24,2
LHP0257,CHU109,Chu nghia xa hoi khoa hoc,Ly luan chinh tri,Nhom09,35,0.88,0.13,1
LHP0258,TOA105,Toan cao cap 1,Toan kinh te,Nhom05,49,0.79,0.09,2
LHP0259,TRI108,Triet hoc Mac-Lenin,Ly luan chinh tri,Nhom08,42,0.8,0.08,1
LHP0260,KIE111,Kiem toan can ban,Ke toan,Nhom11,62,0.9,0.22,2
LHP0261,KIN129,Kinh te vi mo,Kinh te hoc,Nhom29,72,0.82,0.2,1
LHP0262,TOA106,Toan cao cap 2,Toan kinh te,Nhom06,39,0.78,0.22,2
LHP0263,QUA104,Quan tri hoc,Quan tri kinh doanh,Nhom04,76,0.84,0.13,2
LHP0264,NGH110,Nghien cuu thi truong,Marketing,Nhom10,58,0.87,0.2,2
LHP0265,MAR107,Marketing can ban,Marketing,Nhom07,64,0.8,0.24,2
LHP0266,QUA107,Quan tri nhan luc,Quan tri kinh doanh,Nhom07,53,0.89,0.16,1
LHP0267,LUA109,Luat kinh te,Luat,Nhom09,79,0.83,0.16,2
LHP0268,QUA108,Quan tri nhan luc,Quan tri kinh doanh,Nhom08,68,0.78,0.1,2
LHP0269,TOA106,Toan cao cap 1,Toan kinh te,Nhom06,65,0.94,0.19,1
LHP0270,TAI105,Tai chinh doanh nghiep,Tai chinh - Ngan hang,Nhom05,48,0.77,0.08,1
LHP0271,KIN102,Kinh te chinh tri,Ly luan chinh tri,Nhom02,39,0.92,0.07,2
LHP0272,TIE109,Tieng Anh 1,Ngoai ngu,Nhom09,52,0.94,0.13,1
LHP0273,TOA107,Toan cao cap 1,Toan kinh te,Nhom07,45,0.83,0.07,1
LHP0274,HE110,He thong thong tin quan ly,He thong thong tin quan ly,Nhom10,36,0.92,0.18,2
LHP0275,TIE109,Tien te ngan hang,Tai chinh - Ngan hang,Nhom09,32,0.81,0.22,2
LHP0276,TIE110,Tien te ngan hang,Tai chinh - Ngan hang,Nhom10,78,0.89,0.14,1
LHP0277,KE106,Ke toan tai chinh,Ke toan,Nhom06,31,0.8,0.22,1
LHP0278,BAO104,Bao hiem dai cuong,Bao hiem,Nhom04,63,0.83,0.21,1
LHP0279,TAI106,Tai chinh doanh nghiep,Tai chinh - Ngan hang,Nhom06,33,0.8,0.18,2
LHP0280,NGU105,Nguyen ly ke toan,Ke toan,Nhom05,37,0.92,0.15,1
LHP0281,KIN103,Kinh te chinh tri,Ly luan chinh tri,Nhom03,66,0.8,0.08,1
LHP0282,KIN107,Kinh te bat dong san,Bat dong san,Nhom07,52,0.8,0.13,2
LHP0283,KE107,Ke toan tai chinh,Ke toan,Nhom07,63,0.94,0.06,1
