schedule_id,class_id,version,scenario,day_of_week,day_vn,shift,start_time,end_time,building,floor,room_id,room_capacity,num_students,motorbike_ratio,dorm_ratio,primary_lot,motorbike_to_P1,motorbike_to_P2,motorbike_to_P3,distance_building_to_primary_lot_m,arrival_window_start,arrival_window_end,departure_window_start,departure_window_end,is_event
SCH00081,LHP0026,optimized,Normal,Sat,Thu 7,Ca1,06:45,09:25,D,1,D-0101,89,47,0.81,0.09,P2,0,36,2,180,06:15,06:45,09:25,09:55,N
SCH00082,LHP0027,baseline,Normal,Fri,Thu 6,Ca3,13:00,15:40,C,3,D-0303,67,62,0.85,0.23,P2,0,51,2,120,12:30,13:00,15:40,16:10,N
SCH00083,LHP0027,baseline,Normal,Thu,Thu 5,Ca1,06:45,09:25,B,10,A2-1009,80,62,0.85,0.23,P1,51,0,2,100,06:15,06:45,09:25,09:55,N
SCH00084,LHP0027,optimized,Normal,Fri,Thu 6,Ca1,06:45,09:25,C,2,D-0201,72,62,0.85,0.23,P2,0,47,6,120,06:15,06:45,09:25,09:55,N
SCH00085,LHP0027,optimized,Normal,Sat,Thu 7,Ca1,06:45,09:25,C,10,A2-1007,96,62,0.85,0.23,P2,0,47,6,120,06:15,06:45,09:25,09:55,N
SCH00086,LHP0028,baseline,Normal,Fri,Thu 6,Ca2,09:35,12:15,C,8,A2-0811,96,70,0.83,0.11,P2,0,57,1,120,09:05,09:35,12:15,12:45,N
SCH00087,LHP0028,optimized,Normal,Fri,Thu 6,Ca4,15:50,18:30,D,2,D-0207,76,70,0.83,0.11,P2,0,55,3,180,15:20,15:50,18:30,19:00,N
SCH00088,LHP0029,baseline,Peak,Wed,Thu 4,Ca2,09:35,12:15,B,4,A2-0410,98,70,0.95,0.08,P1,65,0,1,100,09:05,09:35,12:15,12:45,N
SCH00089,LHP0029,optimized,Peak,Wed,Thu 4,Ca2,09:35,12:15,C,4,D-0407,80,70,0.95,0.08,P2,0,64,2,120,09:05,09:35,12:15,12:45,N
SCH00090,LHP0030,baseline,Normal,Tue,Thu 3,Ca4,15:50,18:30,D,2,D-0204,71,65,0.75,0.07,P2,0,47,1,180,15:20,15:50,18:30,19:00,N
SCH00091,LHP0030,baseline,Peak,Mon,Thu 2,Ca3,13:00,15:40,D,2,D-0206,88,65,0.75,0.07,P2,0,47,1,180,12:30,13:00,15:40,16:10,N
SCH00092,LHP0030,baseline,Worst,Mon,Thu 2,Ca3,13:00,15:40,D,2,D-0206,88,65,0.75,0.07,P2,0,47,1,180,12:30,13:00,15:40,16:10,N
SCH00093,LHP0030,optimized,Normal,Sat,Thu 7,Ca1,06:45,09:25,C,6,A2-0605,84,65,0.75,0.07,P2,0,46,2,120,06:15,06:45,09:25,09:55,N
SCH00094,LHP0030,optimized,Normal,Fri,Thu 6,Ca3,13:00,15:40,D,1,D-0106,66,65,0.75,0.07,P2,0,46,2,180,12:30,13:00,15:40,16:10,N
SCH00095,LHP0031,baseline,Normal,Fri,Thu 6,Ca1,06:45,09:25,A2,6,A2-0606,118,64,0.76,0.12,P1,48,0,1,150,06:15,06:45,09:25,09:55,N
SCH00096,LHP0031,optimized,Peak,Wed,Thu 4,Ca1,06:45,09:25,A2,3,A2-0313,102,64,0.76,0.12,P1,46,0,3,150,06:15,06:45,09:25,09:55,N
SCH00097,LHP0032,baseline,Peak,Wed,Thu 4,Ca4,15:50,18:30,A2,8,A2-0807,88,38,0.76,0.12,P1,27,0,1,150,15:20,15:50,18:30,19:00,N
SCH00098,LHP0032,baseline,Normal,Fri,Thu 6,Ca1,06:45,09:25,C,2,C-0201,58,38,0.76,0.12,P2,0,27,1,120,06:15,06:45,09:25,09:55,N
SCH00099,LHP0032,optimized,Peak,Mon,Thu 2,Ca2,09:35,12:15,A2,5,A2-0511,109,38,0.76,0.12,P1,26,0,2,150,09:05,09:35,12:15,12:45,N
SCH00100,LHP0032,optimized,Worst,Mon,Thu 2,Ca2,09:35,12:15,A2,5,A2-0511,109,38,0.76,0.12,P1,26,0,2,150,09:05,09:35,12:15,12:45,N
SCH00101,LHP0032,optimized,Normal,Thu,Thu 5,Ca2,09:35,12:15,B,2,B-0202,43,38,0.76,0.12,P1,26,0,2,100,09:05,09:35,12:15,12:45,N
SCH00102,LHP0033,baseline,Normal,Fri,Thu 6,Ca1,06:45,09:25,C,3,C-0306,59,52,0.79,0.1,P2,0,40,1,120,06:15,06:45,09:25,09:55,N
SCH00103,LHP0033,optimized,Normal,Tue,Thu 3,Ca4,15:50,18:30,A2,3,A2-0309,86,52,0.79,0.1,P1,39,0,2,150,15:20,15:50,18:30,19:00,N
SCH00104,LHP0034,baseline,Peak,Wed,Thu 4,Ca1,06:45,09:25,A2,5,A2-0507,94,56,0.94,0.2,P1,51,0,2,150,06:15,06:45,09:25,09:55,N
SCH00105,LHP0034,baseline,Normal,Thu,Thu 5,Ca1,06:45,09:25,A2,7,A2-0710,97,56,0.94,0.2,P1,51,0,2,150,06:15,06:45,09:25,09:55,N
SCH00106,LHP0034,optimized,Peak,Mon,Thu 2,Ca1,06:45,09:25,B,2,B-0203,60,56,0.94,0.2,P1,47,0,6,100,06:15,06:45,09:25,09:55,N
SCH00107,LHP0034,optimized,Worst,Mon,Thu 2,Ca1,06:45,09:25,B,2,B-0203,60,56,0.94,0.2,P1,47,0,6,100,06:15,06:45,09:25,09:55,N
SCH00108,LHP0034,optimized,Normal,Tue,Thu 3,Ca4,15:50,18:30,D,1,D-0102,77,56,0.94,0.2,P2,0,47,6,180,15:20,15:50,18:30,19:00,N
SCH00109,LHP0035,baseline,Peak,Mon,Thu 2,Ca4,15:50,18:30,D,4,D-0401,67,40,0.95,0.21,P2,0,36,2,180,15:20,15:50,18:30,19:00,N
SCH00110,LHP0035,baseline,Worst,Mon,Thu 2,Ca4,15:50,18:30,D,4,D-0401,67,40,0.95,0.21,P2,0,36,2,180,15:20,15:50,18:30,19:00,N
SCH00111,LHP0035,baseline,Normal,Sat,Thu 7,Ca3,13:00,15:40,C,1,C-0107,41,40,0.95,0.21,P2,0,36,2,120,12:30,13:00,15:40,16:10,N
SCH00112,LHP0035,optimized,Normal,Tue,Thu 3,Ca3,13:00,15:40,C,2,C-0202,42,40,0.95,0.21,P2,0,34,4,120,12:30,13:00,15:40,16:10,N
SCH00113,LHP0035,optimized,Peak,Mon,Thu 2,Ca4,15:50,18:30,C,2,C-0207,44,40,0.95,0.21,P2,0,34,4,120,15:20,15:50,18:30,19:00,N
SCH00114,LHP0035,optimized,Worst,Mon,Thu 2,Ca4,15:50,18:30,C,2,C-0207,44,40,0.95,0.21,P2,0,34,4,120,15:20,15:50,18:30,19:00,N
SCH00115,LHP0036,baseline,Normal,Thu,Thu 5,Ca2,09:35,12:15,B,1,B-0103,45,41,0.9,0.12,P1,35,0,1,100,09:05,09:35,12:15,12:45,N
SCH00116,LHP0036,baseline,Normal,Sat,Thu 7,Ca3,13:00,15:40,A2,2,A2-0209,114,41,0.9,0.12,P1,35,0,1,150,12:30,13:00,15:40,16:10,N
SCH00117,LHP0036,optimized,Peak,Wed,Thu 4,Ca4,15:50,18:30,C,2,C-0201,58,41,0.9,0.12,P2,0,34,2,120,15:20,15:50,18:30,19:00,N
SCH00118,LHP0036,optimized,Peak,Mon,Thu 2,Ca1,06:45,09:25,D,4,D-0406,82,41,0.9,0.12,P2,0,34,2,180,06:15,06:45,09:25,09:55,N
SCH00119,LHP0036,optimized,Worst,Mon,Thu 2,Ca1,06:45,09:25,D,4,D-0406,82,41,0.9,0.12,P2,0,34,2,180,06:15,06:45,09:25,09:55,N
SCH00120,LHP0037,baseline,Normal,Thu,Thu 5,Ca2,09:35,12:15,C,1,C-0105,49,47,0.78,0.19,P2,0,36,1,120,09:05,09:35,12:15,12:45,N
SCH00121,LHP0037,optimized,Normal,Fri,Thu 6,Ca4,15:50,18:30,A2,7,A2-0702,115,47,0.78,0.19,P1,33,0,4,150,15:20,15:50,18:30,19:00,N
SCH00122,LHP0038,baseline,Peak,Wed,Thu 4,Ca2,09:35,12:15,A2,6,A2-0610,95,60,0.79,0.21,P1,45,0,2,150,09:05,09:35,12:15,12:45,N
SCH00123,LHP0038,optimized,Normal,Tue,Thu 3,Ca2,09:35,12:15,A2,7,A2-0707,82,60,0.79,0.21,P1,42,0,5,150,09:05,09:35,12:15,12:45,N
SCH00124,LHP0039,baseline,Peak,Mon,Thu 2,Ca1,06:45,09:25,A2,6,A2-0613,104,80,0.92,0.09,P1,73,0,1,150,06:15,06:45,09:25,09:55,N
SCH00125,LHP0039,baseline,Worst,Mon,Thu 2,Ca1,06:45,09:25,A2,6,A2-0613,104,80,0.92,0.09,P1,73,0,1,150,06:15,06:45,09:25,09:55,N
SCH00126,LHP0039,baseline,Normal,Sat,Thu 7,Ca3,13:00,15:40,A2,4,A2-0405,114,80,0.92,0.09,P1,73,0,1,150,12:30,13:00,15:40,16:10,N
SCH00127,LHP0039,optimized,Peak,Wed,Thu 4,Ca2,09:35,12:15,D,1,D-0104,83,80,0.92,0.09,P2,0,70,4,180,09:05,09:35,12:15,12:45,N
SCH00128,LHP0039,optimized,Normal,Sat,Thu 7,Ca2,09:35,12:15,C,7,A2-0703,94,80,0.92,0.09,P2,0,70,4,120,09:05,09:35,12:15,12:45,N
SCH00129,LHP0040,baseline,Normal,Tue,Thu 3,Ca1,06:45,09:25,A2,10,A2-1012,97,51,0.81,0.06,P1,41,0,0,150,06:15,06:45,09:25,09:55,N
SCH00130,LHP0040,baseline,Peak,Mon,Thu 2,Ca1,06:45,09:25,A2,6,A2-0606,118,51,0.81,0.06,P1,41,0,0,150,06:15,06:45,09:25,09:55,N
SCH00131,LHP0040,baseline,Worst,Mon,Thu 2,Ca1,06:45,09:25,A2,6,A2-0606,118,51,0.81,0.06,P1,41,0,0,150,06:15,06:45,09:25,09:55,N
SCH00132,LHP0040,optimized,Normal,Sat,Thu 7,Ca2,09:35,12:15,D,4,D-0403,67,51,0.81,0.06,P2,0,40,1,180,09:05,09:35,12:15,12:45,N
SCH00133,LHP0040,optimized,Normal,Thu,Thu 5,Ca3,13:00,15:40,C,3,C-0306,59,51,0.81,0.06,P2,0,40,1,120,12:30,13:00,15:40,16:10,N
SCH00134,LHP0041,baseline,Normal,Fri,Thu 6,Ca2,09:35,12:15,A2,2,A2-0208,92,71,0.85,0.19,P1,58,0,2,150,09:05,09:35,12:15,12:45,N
SCH00135,LHP0041,baseline,Peak,Mon,Thu 2,Ca1,06:45,09:25,A2,4,A2-0407,104,71,0.85,0.19,P1,58,0,2,150,06:15,06:45,09:25,09:55,N
SCH00136,LHP0041,baseline,Worst,Mon,Thu 2,Ca1,06:45,09:25,A2,4,A2-0407,104,71,0.85,0.19,P1,58,0,2,150,06:15,06:45,09:25,09:55,N
SCH00137,LHP0041,optimized,Peak,Mon,Thu 2,Ca4,15:50,18:30,D,2,D-0203,80,71,0.85,0.19,P2,0,54,6,180,15:20,15:50,18:30,19:00,N
SCH00138,LHP0041,optimized,Worst,Mon,Thu 2,Ca4,15:50,18:30,D,2,D-0203,80,71,0.85,0.19,P2,0,54,6,180,15:20,15:50,18:30,19:00,N
SCH00139,LHP0041,optimized,Normal,Thu,Thu 5,Ca4,15:50,18:30,B,1,A2-0108,86,71,0.85,0.19,P1,54,0,6,100,15:20,15:50,18:30,19:00,N
SCH00140,LHP0042,baseline,Normal,Fri,Thu 6,Ca4,15:50,18:30,B,1,B-0108,45,31,0.77,0.24,P1,23,0,1,100,15:20,15:50,18:30,19:00,N
SCH00141,LHP0042,optimized,Normal,Thu,Thu 5,Ca1,06:45,09:25,B,2,B-0206,56,31,0.77,0.24,P1,21,0,3,100,06:15,06:45,09:25,09:55,N
SCH00142,LHP0043,baseline,Normal,Fri,Thu 6,Ca3,13:00,15:40,D,1,D-0102,77,32,0.77,0.14,P2,0,23,1,180,12:30,13:00,15:40,16:10,N
SCH00143,LHP0043,baseline,Peak,Wed,Thu 4,Ca2,09:35,12:15,D,1,D-0108,69,32,0.77,0.14,P2,0,23,1,180,09:05,09:35,12:15,12:45,N
SCH00144,LHP0043,optimized,Normal,Fri,Thu 6,Ca2,09:35,12:15,A2,10,A2-1006,113,32,0.77,0.14,P1,22,0,2,150,09:05,09:35,12:15,12:45,N
SCH00145,LHP0043,optimized,Normal,Thu,Thu 5,Ca2,09:35,12:15,C,2,C-0207,44,32,0.77,0.14,P2,0,22,2,120,09:05,09:35,12:15,12:45,N
