room_id,building,floor,room_capacity
A2-0902,A2,9,103
A2-0903,A2,9,94
A2-0904,A2,9,88
A2-0905,A2,9,112
A2-0906,A2,9,111
A2-0907,A2,9,85
A2-0908,A2,9,83
A2-0909,A2,9,87
A2-0910,A2,9,89
A2-0911,A2,9,120
A2-0912,A2,9,90
A2-0913,A2,9,107
A2-0914,A2,9,118
A2-1001,A2,10,84
A2-1002,A2,10,104
A2-1003,A2,10,104
A2-1004,A2,10,118
A2-1005,A2,10,109
A2-1006,A2,10,113
A2-1007,A2,10,96
A2-1008,A2,10,115
A2-1009,A2,10,80
A2-1010,A2,10,87
A2-1011,A2,10,114
A2-1012,A2,10,97
A2-1013,A2,10,101
A2-1014,A2,10,87
B-0101,B,1,49
B-0102,B,1,53
B-0103,B,1,45
B-0104,B,1,54
B-0105,B,1,40
B-0106,B,1,48
B-0107,B,1,56
B-0108,B,1,45
B-0201,B,2,56
B-0202,B,2,43
B-0203,B,2,60
B-0204,B,2,49
B-0205,B,2,60
B-0206,B,2,56
B-0207,B,2,59
B-0208,B,2,46
B-0301,B,3,44
B-0302,B,3,51
B-0303,B,3,45
B-0304,B,3,57
B-0305,B,3,56
B-0306,B,3,40
B-0307,B,3,59
B-0308,B,3,50
C-0101,C,1,55
C-0102,C,1,40
C-0103,C,1,43
C-0104,C,1,51
C-0105,C,1,49
C-0106,C,1,47
C-0107,C,1,41
C-0108,C,1,47
C-0201,C,2,58
C-0202,C,2,42
C-0203,C,2,42
C-0204,C,2,55
C-0205,C,2,42
C-0206,C,2,57
C-0207,C,2,44
C-0208,C,2,44
C-0301,C,3,55
C-0302,C,3,57
C-0303,C,3,45
C-0304,C,3,48
C-0305,C,3,56
C-0306,C,3,59
C-0307,C,3,53
C-0308,C,3,46
D-0101,D,1,89
D-0102,D,1,77
D-0103,D,1,84
D-0104,D,1,83
D-0105,D,1,82
D-0106,D,1,66
D-0107,D,1,82
D-0108,D,1,69
D-0201,D,2,72
D-0202,D,2,81
D-0203,D,2,80
D-0204,D,2,71
D-0205,D,2,74
D-0206,D,2,88
D-0207,D,2,76
D-0208,D,2,74
D-0301,D,3,63
D-0302,D,3,67
D-0303,D,3,67
D-0304,D,3,62
D-0305,D,3,70
D-0306,D,3,60
D-0307,D,3,78
D-0308,D,3,77
D-0401,D,4,67
D-0402,D,4,78
D-0403,D,4,67
D-0404,D,4,60
D-0405,D,4,62
D-0406,D,4,82
D-0407,D,4,80
D-0408,D,4,61
D-0501,D,5,67
D-0502,D,5,62
D-0503,D,5,88
D-0504,D,5,61
D-0505,D,5,87
D-0506,D,5,70
D-0507,D,5,62
D-0508,D,5,76
