scenario,shift,shift_start,shift_end,direction,turnover_rate,motorbike_modal_share,bucket_start,bucket_end,fraction_within_window,note
Peak,ca1,06:45,09:25,arrival,1.0,0.7,06:30,06:35,0.25,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca1,06:45,09:25,arrival,1.0,0.7,06:35,06:40,0.3,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca1,06:45,09:25,arrival,1.0,0.7,06:40,06:45,0.2,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca1,06:45,09:25,departure,0.3,0.7,09:25,09:30,0.45,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca1,06:45,09:25,departure,0.3,0.7,09:30,09:35,0.3,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca1,06:45,09:25,departure,0.3,0.7,09:35,09:40,0.12,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca1,06:45,09:25,departure,0.3,0.7,09:40,09:45,0.08,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca1,06:45,09:25,departure,0.3,0.7,09:45,09:50,0.03,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca1,06:45,09:25,departure,0.3,0.7,09:50,09:55,0.02,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca2,09:35,12:15,arrival,0.4,0.7,09:05,09:10,0.03,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca2,09:35,12:15,arrival,0.4,0.7,09:10,09:15,0.07,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca2,09:35,12:15,arrival,0.4,0.7,09:15,09:20,0.15,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca2,09:35,12:15,arrival,0.4,0.7,09:20,09:25,0.25,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca2,09:35,12:15,arrival,0.4,0.7,09:25,09:30,0.3,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca2,09:35,12:15,arrival,0.4,0.7,09:30,09:35,0.2,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca2,09:35,12:15,departure,0.85,0.7,12:15,12:20,0.45,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca2,09:35,12:15,departure,0.85,0.7,12:20,12:25,0.3,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca2,09:35,12:15,departure,0.85,0.7,12:25,12:30,0.12,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca2,09:35,12:15,departure,0.85,0.7,12:30,12:35,0.08,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca2,09:35,12:15,departure,0.85,0.7,12:35,12:40,0.03,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca2,09:35,12:15,departure,0.85,0.7,12:40,12:45,0.02,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca3,13:00,15:40,arrival,0.75,0.7,12:30,12:35,0.03,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca3,13:00,15:40,arrival,0.75,0.7,12:35,12:40,0.07,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca3,13:00,15:40,arrival,0.75,0.7,12:40,12:45,0.15,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca3,13:00,15:40,arrival,0.75,0.7,12:45,12:50,0.25,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca3,13:00,15:40,arrival,0.75,0.7,12:50,12:55,0.3,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca3,13:00,15:40,arrival,0.75,0.7,12:55,13:00,0.2,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca3,13:00,15:40,departure,0.3,0.7,15:40,15:45,0.45,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca3,13:00,15:40,departure,0.3,0.7,15:45,15:50,0.3,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca3,13:00,15:40,departure,0.3,0.7,15:50,15:55,0.12,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca3,13:00,15:40,departure,0.3,0.7,15:55,16:00,0.08,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca3,13:00,15:40,departure,0.3,0.7,16:00,16:05,0.03,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca3,13:00,15:40,departure,0.3,0.7,16:05,16:10,0.02,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca4,15:50,18:30,arrival,0.45,0.7,15:20,15:25,0.03,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca4,15:50,18:30,arrival,0.45,0.7,15:25,15:30,0.07,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca4,15:50,18:30,arrival,0.45,0.7,15:30,15:35,0.15,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca4,15:50,18:30,arrival,0.45,0.7,15:35,15:40,0.25,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca4,15:50,18:30,arrival,0.45,0.7,15:40,15:45,0.3,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca4,15:50,18:30,arrival,0.45,0.7,15:45,15:50,0.2,Tuan cao diem (thi/dang ky hoc phan doi ca gap) SV den don vao sat gio vao hoc
Peak,ca4,15:50,18:30,departure,1.0,0.7,18:30,18:35,0.45,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca4,15:50,18:30,departure,1.0,0.7,18:35,18:40,0.3,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca4,15:50,18:30,departure,1.0,0.7,18:40,18:45,0.12,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca4,15:50,18:30,departure,1.0,0.7,18:45,18:50,0.08,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca4,15:50,18:30,departure,1.0,0.7,18:50,18:55,0.03,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
Peak,ca4,15:50,18:30,departure,1.0,0.7,18:55,19:00,0.02,"Lich hoc lien ca, SV vay tay lay xe ngay sau khi tan hoc de kip di chuyen"
WorstCase,ca1,06:45,09:25,arrival,1.0,0.75,06:15,06:20,0.02,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca1,06:45,09:25,arrival,1.0,0.75,06:20,06:25,0.05,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca1,06:45,09:25,arrival,1.0,0.75,06:25,06:30,0.1,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca1,06:45,09:25,arrival,1.0,0.75,06:30,06:35,0.2,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca1,06:45,09:25,arrival,1.0,0.75,06:35,06:40,0.33,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca1,06:45,09:25,arrival,1.0,0.75,06:40,06:45,0.3,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca1,06:45,09:25,departure,0.3,0.75,09:25,09:30,0.55,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca1,06:45,09:25,departure,0.3,0.75,09:30,09:35,0.3,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca1,06:45,09:25,departure,0.3,0.75,09:35,09:40,0.1,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca1,06:45,09:25,departure,0.3,0.75,09:40,09:45,0.03,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca1,06:45,09:25,departure,0.3,0.75,09:45,09:50,0.01,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca1,06:45,09:25,departure,0.3,0.75,09:50,09:55,0.01,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca2,09:35,12:15,arrival,0.4,0.75,09:05,09:10,0.02,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca2,09:35,12:15,arrival,0.4,0.75,09:10,09:15,0.05,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca2,09:35,12:15,arrival,0.4,0.75,09:15,09:20,0.1,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca2,09:35,12:15,arrival,0.4,0.75,09:20,09:25,0.2,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca2,09:35,12:15,arrival,0.4,0.75,09:25,09:30,0.33,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca2,09:35,12:15,arrival,0.4,0.75,09:30,09:35,0.3,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca2,09:35,12:15,departure,0.85,0.75,12:15,12:20,0.55,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca2,09:35,12:15,departure,0.85,0.75,12:20,12:25,0.3,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca2,09:35,12:15,departure,0.85,0.75,12:25,12:30,0.1,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca2,09:35,12:15,departure,0.85,0.75,12:30,12:35,0.03,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca2,09:35,12:15,departure,0.85,0.75,12:35,12:40,0.01,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca2,09:35,12:15,departure,0.85,0.75,12:40,12:45,0.01,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca3,13:00,15:40,arrival,0.75,0.75,12:30,12:35,0.02,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca3,13:00,15:40,arrival,0.75,0.75,12:35,12:40,0.05,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca3,13:00,15:40,arrival,0.75,0.75,12:40,12:45,0.1,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca3,13:00,15:40,arrival,0.75,0.75,12:45,12:50,0.2,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca3,13:00,15:40,arrival,0.75,0.75,12:50,12:55,0.33,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca3,13:00,15:40,arrival,0.75,0.75,12:55,13:00,0.3,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca3,13:00,15:40,departure,0.3,0.75,15:40,15:45,0.55,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca3,13:00,15:40,departure,0.3,0.75,15:45,15:50,0.3,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca3,13:00,15:40,departure,0.3,0.75,15:50,15:55,0.1,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca3,13:00,15:40,departure,0.3,0.75,15:55,16:00,0.03,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca3,13:00,15:40,departure,0.3,0.75,16:00,16:05,0.01,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca3,13:00,15:40,departure,0.3,0.75,16:05,16:10,0.01,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca4,15:50,18:30,arrival,0.45,0.75,15:20,15:25,0.02,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca4,15:50,18:30,arrival,0.45,0.75,15:25,15:30,0.05,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca4,15:50,18:30,arrival,0.45,0.75,15:30,15:35,0.1,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca4,15:50,18:30,arrival,0.45,0.75,15:35,15:40,0.2,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca4,15:50,18:30,arrival,0.45,0.75,15:40,15:45,0.33,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca4,15:50,18:30,arrival,0.45,0.75,15:45,15:50,0.3,"Mua lon + su kien ngay hoi tuyen sinh lam SV den muon, don vao sat gio"
WorstCase,ca4,15:50,18:30,departure,1.0,0.75,18:30,18:35,0.55,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca4,15:50,18:30,departure,1.0,0.75,18:35,18:40,0.3,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca4,15:50,18:30,departure,1.0,0.75,18:40,18:45,0.1,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca4,15:50,18:30,departure,1.0,0.75,18:45,18:50,0.03,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca4,15:50,18:30,departure,1.0,0.75,18:50,18:55,0.01,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
WorstCase,ca4,15:50,18:30,departure,1.0,0.75,18:55,19:00,0.01,"Mua lon + trung gio tan ca, gan nhu toan bo SV do xo ra lay xe trong 5-10 phut dau"
